Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d]
MOD21A1D.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLT,9999
MOD21A1N.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLT,9999
MOD21A2.006,Terra MODIS,Land Surface Temperature (LST),1000,Multi-Day,MOLT,9999
MOD44B.006,Terra MODIS,Vegetation Continuous Fields (VCF),250,Yearly,MOLT,9999
MOD44W.006,Terra MODIS,Land Cover,250,Yearly,MOLT,9999
MODOCGA.006,Terra MODIS,Surface Reflectance,1000,Daily,MOLT,9999
MODTBGA.006,Terra MODIS,"Albedo, Land Surface Temperature (LST), Surface Reflectance",1000,Daily,MOLT,9999
MYD09A1.006,Aqua MODIS,Surface Reflectance,500,Multi-Day,MOLA,9999
MYD09CMG.006,Aqua MODIS,Surface Reflectance,5600,Daily,MOLA,9999
MYD09GA.006,Aqua MODIS,Surface Reflectance,"500, 1000",Daily,MOLA,9999
MYD09GQ.006,Aqua MODIS,Surface Reflectance,250,Daily,MOLA,9999
MYD09Q1.006,Aqua MODIS,Surface Reflectance,250,Multi-Day,MOLA,9999
MYD11A1.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLA,9999
MYD11A2.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Multi-Day,MOLA,9999
MYD11B1.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Daily,MOLA,9999
MYD11B2.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Multi-Day,MOLA,9999
MYD11B3.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Monthly,MOLA,9999
MYD11C1.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Daily,MOLA,9999
MYD11C2.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Multi-Day,MOLA,9999
MYD11C3.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Monthly,MOLA,9999
MYD11_L2.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,< Daily,MOLA,9999
MYD13A1.006,Aqua MODIS,Vegetation Indices (VI),500,Multi-Day,MOLA,9999
MYD13A2.006,Aqua MODIS,Vegetation Indices (VI),1000,Multi-Day,MOLA,9999
MYD13A3.006,Aqua MODIS,Vegetation Indices (VI),1000,Monthly,MOLA,9999
MYD13C1.006,Aqua MODIS,Vegetation Indices (VI),5600,Multi-Day,MOLA,9999
MYD13C2.006,Aqua MODIS,Vegetation Indices (VI),5600,Monthly,MOLA,9999
MYD13Q1.006,Aqua MODIS,Vegetation Indices (VI),250,Multi-Day,MOLA,9999
MYD14.006,Aqua MODIS,Thermal Anomalies and Fire,1000,< Daily,MOLA,9999
MYD14A1.006,Aqua MODIS,Thermal Anomalies and Fire,1000,Daily,MOLA,9999
MYD14A2.006,Aqua MODIS,Thermal Anomalies and Fire,1000,Multi-Day,MOLA,9999
MYD15A2H.006,Aqua MODIS,"Fraction of Photosynthetically Active Radiation (FPAR), Leaf Area Index (LAI)",500,Multi-Day,MOLA,9999
MYD16A2.006,Aqua MODIS,Evapotranspiration (ET),500,Multi-Day,MOLA,9999
MYD16A2GF.006,Aqua MODIS,Evapotranspiration (ET),500,Multi-Day,MOLA,9999
MYD16A3.006,Aqua MODIS,Evapotranspiration (ET),500,Yearly,MOLA,9999
MYD16A3GF.006,Aqua MODIS,Evapotranspiration (ET),500,Yearly,MOLA,9999
MYD17A2H.006,Aqua MODIS,Gross Primary Productivity (GPP),500,Multi-Day,MOLA,9999
MYD17A2HGF.006,Aqua MODIS,Gross Primary Productivity (GPP),500,Multi-Day,MOLA,9999
MYD17A3H.006,Aqua MODIS,Net Primary Productivity (NPP),500,Yearly,MOLA,9999
MYD17A3HGF.006,Aqua MODIS,Net Primary Productivity (NPP),500,Yearly,MOLA,9999
MYD21.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLA,9999
MYD21A1D.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLA,9999
MYD21A1N.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLA,9999
MYD21A2.006,Aqua MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Multi-Day,MOLA,9999
MYDOCGA.006,Aqua MODIS,Surface Reflectance,1000,Daily,MOLA,9999
MYDTBGA.006,Aqua MODIS,"Albedo, Land Surface Temperature (LST), Surface Reflectance",1000,Daily,MOLA,9999
